dc:creator,dc:date,dc:description,dc:publisher,dc:rights,dc:subject,dc:title,dc:Identifier,dc: source,dc: relation,dc: format,dc: Coverage,dc: Item_Type,dc:text,dc: original_Format,dc: Date_created,dc: Filename
Rochester (NY) Federation of Teachers,1988-12,Orientation Manual for School Based Planning Teams,WPR,CC,Education,Orientation Manual for School Based Planning Teams,3480001,"Rochester Federation of Teachers, . (1988, December). Orientation manual for school based planning teams. 14.",Professional Development,pdf,"Rochester, NY",Document,,Paper,,/var/www/aft/prep/3480001.pdf
Toledo Federation of Teachers,1986-05,Toledo's Internship Program; The Teacher's Role in Excellence,WPR,CC,Education,Toledo's Internship Program; The Teacher's Role in Excellence,3480002,"Toledo Federation of Teachers, . (1986, May). Toledo's internship program; the teacher's role in excellence. 17.",Professional Development,pdf,"Toledo, OH",Document,,paper,,/var/www/aft/prep/3480002.pdf
Toledo Federation of Teachers,,Intern Intervention Evaluation,WPR,CC,"Education, Education Reform",Intern Intervention Evaluation,3480003,"Toledo Federation of Teachers, Initials. Intern intervention evaluation. 3.",Professional Development,pdf,"Toledo, OH",Pamphlet,,pamphlet,,/var/www/aft/prep/3480003.pdf
Rochester (NY) Federation of Teachers,1992-07-01-1996-06-30,Excerpts from a contract agreement,WPR,CC,"Education, Education Reform",Excerpts from a contract agreement,3480004,"Rochester Federation of Teachers, . (1992, July 01). Excerpts from a contract agreement. 5.",Professional Development,pdf,"Rochester, NY",Document,,contract,,/var/www/aft/prep/3480004.pdf
Rochester (NY) Federation of Teachers,1986-1987,Collective Bargaining Agreement chart,WPR,CC,"Education, Education Reform",Collective Bargaining Agreement chart,3480005,"Rochester Federation of Teachers, Initials. (1986). Ollective bargaining agreement chart. 2.",Professional Development,pdf,"Rochester, NY",document,,paper,,/var/www/aft/prep/3480005.pdf
Pittsburg Federation of Teachers,1997-98,Criteria for evaluation and rating of Pittsburg Teachers,WPR,CC,Education,Criteria for evaluation and rating of Pittsburg Teachers,3480006,"Pittsburg Federation of Teachers, Initials. (1997). Criteria for evaluation and rating of pittsburg teachers. 1.",Professional Development,pdf,"Pittsburg, PA",document,,paper,,/var/www/aft/prep/3480006.pdf
"AFT, Local 2",1991-10-01-1995-10-15,Excerpts from a contract agreement,WPR,CC,Education,Excerpts from a contract agreement,3480007,"AFT, Local 2, . (1991, October 01). Excerpts from a contract agreement. 4.",Professional Development,pdf,New York City. NY,document,,contract,,/var/www/aft/prep/3480007.pdf
NYC United Federation of Teachers,1995-2000,"Article 21.G, Collective Bargaining Agreement",WPR,CC,Education,"Article 21.G, Collective Bargaining Agreement",3480008,"NYC United Federation of Teachers, . (1995). Article 21.g collective bargaining agreement. 2.",Professional Development,pdf,New York City. NY,document,,contract,,/var/www/aft/prep/3480008.pdf
NYC Board of Education/United Federation of Teachers,1988-89,How to Set up a Peer Assitance Program ,WPR,CC,Education,How to Set up a Peer Assitance Program ,3480009,"NYC Board of Education/Federation of Teachers, . (1988). Teachers not making the grade? how to set up a peer assistance program. 35.",Professional Development,pdf,New York City. NY,document,,pamphlet,,/var/www/aft/prep/3480009.pdf
Toledo Federation of Teachers,unknown,Dos and Don’ts of teacher evaluation,WPR,CC,Education,Dos and Don’ts of teacher evaluation,3480010,"Toledo Federation of Teachers, Initials. Dos and don'ts of teacher evalation. 2.",Professional Development,pdf,"Toledo, OH",Document,,Paper,,/var/www/aft/prep/3480010.pdf
